documento,topicos_provaveis
10.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'conformidade data educação instituto sanitária film freqüência li silicone zoonoses', 'resíduos processamento saúde área ambiente tatuagem alarme lei lata fluidizado']"
161.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'conformidade data educação instituto sanitária film freqüência li silicone zoonoses', 'resíduos processamento saúde área ambiente tatuagem alarme lei lata fluidizado']"
243.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'conformidade data educação instituto sanitária film freqüência li silicone zoonoses', 'resíduos processamento saúde área ambiente tatuagem alarme lei lata fluidizado']"
245.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'água processo ouro resíduos banho produto recuperação tratamento produção técnicas', 'pe imposto limpador campo metrologia área niquelação fornalha presunto co']"
246.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'conformidade data educação instituto sanitária film freqüência li silicone zoonoses', 'resíduos processamento saúde área ambiente tatuagem alarme lei lata fluidizado']"
248.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'água processo ouro resíduos banho produto recuperação tratamento produção técnicas', 'pe imposto limpador campo metrologia área niquelação fornalha presunto co']"
274.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'água processo ouro resíduos banho produto recuperação tratamento produção técnicas', 'pe imposto limpador campo metrologia área niquelação fornalha presunto co']"
275.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'resíduos processo construção produção redução geração limpa empresa reciclagem qualidade', 'resíduos limpa produção geração utilização interface redução gerenciamento citrato emissão']"
291.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'água processo ouro resíduos banho produto recuperação tratamento produção técnicas', 'pe imposto limpador campo metrologia área niquelação fornalha presunto co']"
296.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'conformidade data educação instituto sanitária film freqüência li silicone zoonoses', 'resíduos processamento saúde área ambiente tatuagem alarme lei lata fluidizado']"
43.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'conformidade data educação instituto sanitária film freqüência li silicone zoonoses', 'resíduos processamento saúde área ambiente tatuagem alarme lei lata fluidizado']"
49.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'conformidade data educação instituto sanitária film freqüência li silicone zoonoses', 'resíduos processamento saúde área ambiente tatuagem alarme lei lata fluidizado']"
50.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'conformidade data educação instituto sanitária film freqüência li silicone zoonoses', 'resíduos processamento saúde área ambiente tatuagem alarme lei lata fluidizado']"
5438.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'conformidade data educação instituto sanitária film freqüência li silicone zoonoses', 'resíduos processamento saúde área ambiente tatuagem alarme lei lata fluidizado']"
61.txt,"['resíduos processo produção limpa ambiental técnicas redução fonte empresa meio', 'conformidade data educação instituto sanitária film freqüência li silicone zoonoses', 'resíduos processamento saúde área ambiente tatuagem alarme lei lata fluidizado']"
