documento,topicos_provaveis
106.txt,"['carne animais produção água produto sal animal produtos qualidade temperatura', 'produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
1076.txt,"['carne animais produção água produto sal animal produtos qualidade temperatura', 'produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
109.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
116.txt,"['carne animais produção água produto sal animal produtos qualidade temperatura', 'produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
117.txt,"['carne animais produção água produto sal animal produtos qualidade temperatura', 'produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
120.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'embalagem produto atmosfera gás baixa densidade produtos polietileno equipamento temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
121.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'embalagem produto atmosfera gás baixa densidade produtos polietileno equipamento temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
128.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
140.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
142.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
143.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
144.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
168.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
171.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
185.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
192.txt,"['carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
197.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
20.txt,"['embalagem produto atmosfera gás baixa densidade produtos polietileno equipamento temperatura', 'produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
204.txt,"['carne animais produção água produto sal animal produtos qualidade temperatura', 'produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
212.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
213.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
218.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
22.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
221.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
230.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
234.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
237.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
25.txt,"['carne animais produção água produto sal animal produtos qualidade temperatura', 'produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
251.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
261.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
265.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
27615.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
27650.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
27654.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
27655.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
27661.txt,"['carne animais produção água produto sal animal produtos qualidade temperatura', 'produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
27673.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
27688.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
27689.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia', 'água serviço técnicas brasil brasileiro processo produção pescado alimento peixe']"
27695.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
277.txt,"['produtos alimentos produto água acesso técnicas brasileiro leite serviço produção', 'carne animais produção água produto sal animal produtos qualidade temperatura', 'cavalinha enriquecido arnica biológica avestruz aquicultura poluição televisão biossegurança estévia']"
