documento,topicos_provaveis
100.txt,"['água técnicas nbr ensaio ph serviço brasileiro qualidade cerveja processo', 'processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'água tratamento lodo açúcar licor gengibre xarope álcool dejetos efluente']"
102.txt,"['água tratamento lodo açúcar licor gengibre xarope álcool dejetos efluente', 'processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'reciclagem fonte serviço paulo produtos acesso grãos plástico ambiente segurança']"
104.txt,"['processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'cultivo solo planta produção plantio al colheita cultura água controle', 'água tratamento lodo açúcar licor gengibre xarope álcool dejetos efluente']"
107.txt,"['processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'reciclagem fonte serviço paulo produtos acesso grãos plástico ambiente segurança', 'água bambu fonte técnicas açúcar álcool licor xarope papel brasileiro']"
1077.txt,"['processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'cultivo solo planta produção plantio al colheita cultura água controle', 'telhado ponto vivo fonte fôrma ecotelha carambola calçado impermeabilização fermento']"
11.txt,"['processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'água técnicas nbr ensaio ph serviço brasileiro qualidade cerveja processo', 'reciclagem fonte serviço paulo produtos acesso grãos plástico ambiente segurança']"
112.txt,"['processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'trabalho segurança riscos proteção saúde risco acesso nr acidentes brasil', 'água bambu fonte técnicas açúcar álcool licor xarope papel brasileiro']"
113.txt,"['processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'reciclagem fonte serviço paulo produtos acesso grãos plástico ambiente segurança', 'água bambu fonte técnicas açúcar álcool licor xarope papel brasileiro']"
114.txt,"['água técnicas nbr ensaio ph serviço brasileiro qualidade cerveja processo', 'processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'reciclagem fonte serviço paulo produtos acesso grãos plástico ambiente segurança']"
118.txt,"['processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'reciclagem fonte serviço paulo produtos acesso grãos plástico ambiente segurança', 'água bambu fonte técnicas açúcar álcool licor xarope papel brasileiro']"
122.txt,"['processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'bucho abate tripa carcaça ovino caprino fonte sala animal material', 'trabalho segurança riscos proteção saúde risco acesso nr acidentes brasil']"
123.txt,"['processo técnicas brasileiro serviço fonte produção água acesso produtos produto', 'gelo pista patinação hóquei ar ice refrigeração international temperatura ashrae', 'cultivo solo planta produção plantio al colheita cultura água controle']"
