documento,topicos_provaveis
101.txt,"['solo água controle planta produção plantio técnicas al fonte brasileiro', 'plantio solo área madeira técnicas florestal fonte corte produção brasileiro', 'solo planta cultura óleo controle girassol produção milho produtos desenvolvimento']"
103.txt,"['solo água controle planta produção plantio técnicas al fonte brasileiro', 'bonsai vaso água terra árvore poda planta solo tronco arame', 'solo planta cultura óleo controle girassol produção milho produtos desenvolvimento']"
105.txt,"['plantio solo área madeira técnicas florestal fonte corte produção brasileiro', 'solo água controle planta produção plantio técnicas al fonte brasileiro', 'solo planta cultura óleo controle girassol produção milho produtos desenvolvimento']"
108.txt,"['solo água controle planta produção plantio técnicas al fonte brasileiro', 'solo planta cultura óleo controle girassol produção milho produtos desenvolvimento', 'solo água planta cultivo diluição lata dois medida poda globo']"
110.txt,"['solo água controle planta produção plantio técnicas al fonte brasileiro', 'solo planta cultura óleo controle girassol produção milho produtos desenvolvimento', 'solo água planta cultivo diluição lata dois medida poda globo']"
111.txt,"['solo água controle planta produção plantio técnicas al fonte brasileiro', 'solo planta cultura óleo controle girassol produção milho produtos desenvolvimento', 'solo água planta cultivo diluição lata dois medida poda globo']"
115.txt,"['solo água controle planta produção plantio técnicas al fonte brasileiro', 'solo planta cultura óleo controle girassol produção milho produtos desenvolvimento', 'solo água planta cultivo diluição lata dois medida poda globo']"
119.txt,"['solo água controle planta produção plantio técnicas al fonte brasileiro', 'plantio solo área madeira técnicas florestal fonte corte produção brasileiro', 'solo planta cultura óleo controle girassol produção milho produtos desenvolvimento']"
124.txt,"['solo água controle planta produção plantio técnicas al fonte brasileiro', 'solo planta cultura óleo controle girassol produção milho produtos desenvolvimento', 'solo água planta cultivo diluição lata dois medida poda globo']"
127.txt,"['plantio solo área madeira técnicas florestal fonte corte produção brasileiro', 'solo água controle planta produção plantio técnicas al fonte brasileiro', 'solo planta cultura óleo controle girassol produção milho produtos desenvolvimento']"
129.txt,"['solo água controle planta produção plantio técnicas al fonte brasileiro', 'banana processo alimentos produto purê fruta chips água processamento frutas', 'solo água planta cultivo diluição lata dois medida poda globo']"
