documento,topicos_provaveis
106.txt,"['produção animais acesso água técnicas brasileiro serviço brasil animal criação', 'produto alimentos produtos leite água processo temperatura acesso técnicas qualidade', 'água sal carne pescado produto qualidade processo alimentos peixe produtos']"
1076.txt,"['produção animais acesso água técnicas brasileiro serviço brasil animal criação', 'água sal carne pescado produto qualidade processo alimentos peixe produtos', 'anvisa técnico produtos frutas água brasileira insumo brasileiro processo alimentos']"
109.txt,"['produto alimentos produtos leite água processo temperatura acesso técnicas qualidade', 'produtos técnicas acesso anvisa serviço brasileiro água sabão fonte produto', 'água sal carne pescado produto qualidade processo alimentos peixe produtos']"
116.txt,"['produção animais acesso água técnicas brasileiro serviço brasil animal criação', 'água sal carne pescado produto qualidade processo alimentos peixe produtos', 'anvisa técnico produtos frutas água brasileira insumo brasileiro processo alimentos']"
117.txt,"['produto alimentos produtos leite água processo temperatura acesso técnicas qualidade', 'produção animais acesso água técnicas brasileiro serviço brasil animal criação', 'água sal carne pescado produto qualidade processo alimentos peixe produtos']"
120.txt,"['produto alimentos produtos leite água processo temperatura acesso técnicas qualidade', 'água sal carne pescado produto qualidade processo alimentos peixe produtos', 'orgânica animais produtos brasil manejo uso rhode agricultura produção orgânico']"
121.txt,"['produto alimentos produtos leite água processo temperatura acesso técnicas qualidade', 'produtos técnicas acesso anvisa serviço brasileiro água sabão fonte produto', 'água sal carne pescado produto qualidade processo alimentos peixe produtos']"
128.txt,"['produção animais acesso água técnicas brasileiro serviço brasil animal criação', 'água sal carne pescado produto qualidade processo alimentos peixe produtos', 'anvisa técnico produtos frutas água brasileira insumo brasileiro processo alimentos']"
140.txt,"['produto alimentos produtos leite água processo temperatura acesso técnicas qualidade', 'produtos técnicas acesso anvisa serviço brasileiro água sabão fonte produto', 'água sal carne pescado produto qualidade processo alimentos peixe produtos']"
142.txt,"['produto alimentos produtos leite água processo temperatura acesso técnicas qualidade', 'produção animais acesso água técnicas brasileiro serviço brasil animal criação', 'água sal carne pescado produto qualidade processo alimentos peixe produtos']"
143.txt,"['produto alimentos produtos leite água processo temperatura acesso técnicas qualidade', 'produção animais acesso água técnicas brasileiro serviço brasil animal criação', 'água sal carne pescado produto qualidade processo alimentos peixe produtos']"
144.txt,"['produto alimentos produtos leite água processo temperatura acesso técnicas qualidade', 'água sal carne pescado produto qualidade processo alimentos peixe produtos', 'orgânica animais produtos brasil manejo uso rhode agricultura produção orgânico']"
168.txt,"['produto alimentos produtos leite água processo temperatura acesso técnicas qualidade', 'produção animais acesso água técnicas brasileiro serviço brasil animal criação', 'água sal carne pescado produto qualidade processo alimentos peixe produtos']"
171.txt,"['produto alimentos produtos leite água processo temperatura acesso técnicas qualidade', 'produção animais acesso água técnicas brasileiro serviço brasil animal criação', 'água sal carne pescado produto qualidade processo alimentos peixe produtos']"
185.txt,"['produção animais acesso água técnicas brasileiro serviço brasil animal criação', 'água sal carne pescado produto qualidade processo alimentos peixe produtos', 'anvisa técnico produtos frutas água brasileira insumo brasileiro processo alimentos']"
192.txt,"['produção animais acesso água técnicas brasileiro serviço brasil animal criação', 'água sal carne pescado produto qualidade processo alimentos peixe produtos', 'anvisa técnico produtos frutas água brasileira insumo brasileiro processo alimentos']"
