documento,topicos_provaveis
101.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
103.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
105.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
108.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
110.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
111.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
115.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
119.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
124.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
127.txt,"['solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
129.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
131.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
135.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
136.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'bonsai vaso árvore arame tronco poda terra alicate arte bandeja', 'solo técnicas água brasileiro área serviço plantio sobre fonte acesso']"
145.txt,"['solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
150.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
152.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
153.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
163.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
177.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
181.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
184.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
188.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
19.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
196.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'controle frugiperda milho citrella lagarta serviço técnicas phyllocnistis danos brasileiro', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
206.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
211.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa', 'complexo caixa samambaia juta portátil desinfetante alimentício beterraba investimento frita']"
214.txt,"['solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
217.txt,"['solo água controle produção planta plantio fonte técnicas al cultivo', 'solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
219.txt,"['solo técnicas água brasileiro área serviço plantio sobre fonte acesso', 'solo água controle produção planta plantio fonte técnicas al cultivo', 'irrigação direcional água mamona cheiro formiga tubulação mão classificação vespa']"
